sub,t,c,lh_fp,rh_fp,fp_mean
tg68,2,5,0.13677455722035525,0.13791055097589605,0.13734255409812565
tm71,2,5,0.1474470419219716,0.18865022759496172,0.16804863475846665
zd74,2,5,0.17074651778694064,0.14911076966775885,0.15992864372734975
am83,2,6,0.15633477053015266,0.14683547369526107,0.15158512211270686
aw76,2,6,0.13673642187395862,0.15038321673217994,0.14355981930306927
bg78,2,6,0.18137911401223633,0.1529630127593422,0.16717106338578927
dc80,2,6,0.1644976702104189,0.15365654233595494,0.1590771062731869
ll81,2,6,0.12543287946368864,0.14864609733471443,0.13703948839920155
mp77,2,6,0.1471725673714,0.15462378854520675,0.15089817795830338
va84,2,6,0.13185609313660757,0.15140981819459576,0.14163295566560166
ag88,2,7,0.13180792569992758,0.15703855629463628,0.14442324099728193
cm86,2,7,0.17587931211584984,0.17136571734022338,0.1736225147280366
bm91,2,8,0.14881198894346306,0.16633198951940806,0.15757198923143556
mb93,2,8,0.15400777124358322,0.14527021670248097,0.1496389939730321
sk94,2,8,0.15448429879622808,0.15398470711030315,0.15423450295326563
tk92,2,8,0.16021093895038369,0.1462969368986784,0.15325393792453104
