sub,t,c,lh_fp,rh_fp,fp_mean
sl48,2,4,0.20252397368160566,0.13302535798540785,0.16777466583350675
wb50,2,4,0.14521420454839368,0.1332872832063375,0.13925074387736558
aa35,2,5,0.14323763303978884,0.13884103548779206,0.14103933426379045
al73,2,5,0.14441825701932784,0.15759101659490077,0.1510046368071143
gf42,2,5,0.15074923815922242,0.13400718593097588,0.14237821204509915
hc67,2,5,0.135022906779994,0.12103266053013605,0.12802778365506504
kr70,2,5,0.14801380175589385,0.15063543603558957,0.14932461889574172
mw69,2,5,0.15208571410988453,0.14365416808700443,0.14786994109844448
pc66,2,5,0.18893733054699374,0.15471781214369537,0.17182757134534454
sg64,2,5,0.13769083050210496,0.15203445385749648,0.14486264217980072
tg68,2,5,0.16036606331784203,0.1833742429380506,0.17187015312794632
tm71,2,5,0.14900313270089682,0.12855782520019365,0.13878047895054524
zd74,2,5,0.1251578522334485,0.12836848292359326,0.12676316757852088
am83,2,6,0.13534189328525037,0.1520586745965088,0.14370028394087958
bg78,2,6,0.16194997399004923,0.15747872542196772,0.15971434970600848
dc80,2,6,0.17642258992636278,0.15386899097120538,0.16514579044878408
ll81,2,6,0.14053518743010945,0.13073187422630123,0.13563353082820534
mp77,2,6,0.17289488080821472,0.15905603478023098,0.16597545779422285
va84,2,6,0.1449565462042901,0.13130291125132523,0.13812972872780765
ag88,2,7,0.16499012143492153,0.1373077281147772,0.15114892477484937
cm86,2,7,0.14364789725668833,0.15085429538646125,0.1472510963215748
bm91,2,8,0.17012890297960856,0.1400488212824566,0.15508886213103257
cm90,2,8,0.1382501058713529,0.14403589473644213,0.1411430003038975
mb93,2,8,0.16736215175752445,0.1517073884018,0.1595347700796622
sk94,2,8,0.14323404373096285,0.15788616499432356,0.15056010436264322
tk92,2,8,0.14266951130201208,0.14123927950016119,0.14195439540108662
